m.z,Number.of.peaks,Sample,Source
408.92,20,Seawater,Biological
409.16,40,Seawater,Biological
410.7,2,Seawater,Biological
410.92,30,Seawater,Biological
413.9,28,Seawater,Biological
413.92,43,Seawater,Biological
416.37,23,Seawater,Biological
418.73,2,Seawater,Biological
419.31,4,Seawater,Biological
420.73,3,Seawater,Biological
423.95,4,Seawater,Biological
424.36,14,Seawater,Biological
425.29,1,Seawater,Biological
426.95,11,Seawater,Biological
427.95,25,Seawater,Biological
428.37,19,Seawater,Biological
428.7,5,Seawater,Biological
429.26,10,Seawater,Biological
430.32,1,Seawater,Biological
430.39,11,Seawater,Biological
430.7,3,Seawater,Biological
431.94,17,Seawater,Biological
432.69,6,Seawater,Biological
434.69,6,Seawater,Biological
436.91,13,Seawater,Biological
437.92,24,Seawater,Biological
438.91,25,Seawater,Biological
451.95,4,Seawater,Biological
455.37,17,Seawater,Biological
456.69,5,Seawater,Biological
466.66,2,Seawater,Biological
468.66,2,Seawater,Biological
468.91,24,Seawater,Biological
476.69,2,Seawater,Biological
478.69,3,Seawater,Biological
486.66,4,Seawater,Biological
488.66,7,Seawater,Biological
488.82,21,Seawater,Biological
490.65,7,Seawater,Biological
490.82,22,Seawater,Biological
491.82,17,Seawater,Biological
491.93,11,Seawater,Biological
492.65,8,Seawater,Biological
492.82,15,Seawater,Biological
494.81,26,Seawater,Biological
496.91,33,Seawater,Biological
498.31,5,Seawater,Biological
498.9,16,Seawater,Biological
499.91,23,Seawater,Biological
281.98,61,Seawater TOP15,Biological
260.46,58,Seawater TOP15,Biological
413.92,43,Seawater TOP15,Biological
409.16,40,Seawater TOP15,Biological
260.96,39,Seawater TOP15,Biological
338.97,38,Seawater TOP15,Biological
293.96,37,Seawater TOP15,Biological
390.91,36,Seawater TOP15,Biological
377.42,33,Seawater TOP15,Biological
496.91,33,Seawater TOP15,Biological
387.93,32,Seawater TOP15,Biological
271.97,31,Seawater TOP15,Biological
335.34,31,Seawater TOP15,Biological
400.94,30,Seawater TOP15,Biological
410.92,30,Seawater TOP15,Biological
